userWallet,total_tx_count,num_deposits,num_borrows,num_repays,num_redeems,num_liquidations,total_amount_deposited,total_amount_borrowed,total_amount_repaid,total_usd_value,avg_time_gap,num_unique_assets,repay_borrow_ratio,log_total_usd,credit_score,score_bucket
0x0371229099726879e47c045aca027e0a27d3c5d1,7,4,2,1,0,0,8.099998999999999e+21,2000000000.0,500000000.0,1.0270318240926813e+22,988771.3333333334,3,0.2499999999999999,50.68354496376734,,
0x03733ca219c6418adba6f120daca918eb3f67738,49,22,18,9,0,0,3.834608300939317e+22,9.14830094626678e+21,5.0079965897995245e+17,6.969768783162988e+22,53385.708333333336,5,5.4742368219130106e-05,52.59845409694385,,
0x037343879ca2c1d0078038549ee042046f32243f,21,10,7,2,0,2,5.687596293519306e+22,1.4555056256681574e+22,7742323839.0,1.3386002978177344e+23,19744.1,3,5.319336251583257e-13,53.25108165303192,,
0x03740d9e1c042fc41e995e59da9ca953d3d68fd9,37,18,14,2,3,0,7.30230149269045e+21,14153022649.0,2430329263.0,2.9351708654365665e+22,179884.36111111112,5,0.1717180367242412,51.73363771395764,,
0x0375c3cdacf59035471566ff3e775b5f10d57ea1,3,1,0,0,2,0,6459713901.0,0.0,0.0,13053744952.387047,2372755.0,1,0.0,23.292340899155413,,
0x03761263846e6a598e667e6a573ed86fabff8953,4,1,1,1,1,0,4.999e+21,1.12e+18,1.12e+18,1.929656320849257e+22,30.0,2,1.0,51.31421396083025,,
0x037949068f0cff6d57d7253398e60577ccd86dd3,11,5,1,1,4,0,8.220000000010001e+20,3.003619148076e+20,3.005872999842374e+20,4.4222599732472295e+21,494825.6,5,1.0007503786782748,49.84093782445664,,
0x03796fa1bf321bf02cb48969723afe7e0cdb5e55,9,2,1,1,5,0,3.064397440548604e+21,1500000000.0,1501320351.0,6.797314296464606e+21,317380.625,3,1.0008802339999994,50.27081453063894,,
0x037a28da412268621439c31fd0d54dbb511d47b4,4,1,1,1,1,0,4.1e+21,6.3e+20,6.3e+20,4.6056200858960554e+21,50.0,2,1.0,49.88156426843478,,
0x037a3079e857e383454fefbea892fde12a2e83fd,14,11,0,0,3,0,2.1448520035540533e+21,0.0,0.0,1.1341255491021154e+22,70099.07692307692,5,0.0,50.782733958540206,,
0x037a43f01b3c2a2acd60510c1b893e94cb64333d,12,2,3,4,3,0,2.799076291626617e+21,4253810000.0,4255785953.0,5.601593331561157e+21,52446.0,3,1.0004645136947816,50.07733803364,,
0x037b22bd2ed3df1e5bb8fbf7faa2feac9dda22b0,4,3,0,0,1,0,48316110773.0,0.0,0.0,96617349607.17703,92801.66666666667,1,0.0,25.294024164607393,,
0x037bc5471ff04bff3170a1364d2201259c02b127,36,22,0,0,14,0,1.1038758139137687e+22,0.0,0.0,8.522831653592413e+21,275344.5142857143,4,0.0,50.497035592206956,,
0x037bef2da33513cfb998e36894d073773d3285f8,92,26,20,18,28,0,4.468273309972723e+21,1.5687301474545786e+21,9.741378298302332e+20,1.333046303983241e+25,70795.79120879121,5,0.6209722120855962,57.852094102116006,,
0x037bf6a1e7b137f824f46313317e033ffeceb613,172,94,22,31,25,0,1.0523493155485743e+23,3.808064650467401e+21,3.80884830849218e+21,2.704007449467206e+23,56302.93567251462,7,1.0002057890547322,53.954192052020446,,
0x037ca92482ddaae946133ea49e3578ac75bcbef1,4,2,0,0,2,0,3.8099e+20,0.0,0.0,8.337392183700725e+20,538554.3333333334,2,0.0,48.172452339548876,,
0x037d9c5bcc88932c6dfdde923043f1fa065a1c69,9,6,3,0,0,0,6.278594905884101e+20,128500000.0,0.0,6.549302507343989e+20,480755.625,4,0.0,47.93106041642949,,
0x037e2fd9f7f79e38cd027e6ad4212d2d697eae60,38,17,10,5,6,0,7.384903461799956e+20,3.522614767378548e+20,2.177087771055875e+20,1.5851815128649572e+21,125036.7027027027,3,0.6180317505101518,48.81498587280509,,
0x037e908997841df68afb48eb1c9a6e441310abf5,9,1,1,3,4,0,5.365731778951737e+18,241766287.0,483620336.0,1.1474778439384606e+20,42959.125,2,2.0003630034654005,46.18926821453244,,
0x03807e5ca6505683c96cc30bc71c018b4b0f3f38,32,18,10,2,2,0,1.6000516782166966e+21,4.726996152796473e+20,255386305.0,3.2873109473526803e+21,211842.4516129032,4,5.402718697981474e-13,49.54435684221659,,
0x03827daa642b7e409e4d08fb34836c22d0a3556b,218,80,34,49,52,3,1.5299285641738526e+21,5.440008000001861e+20,2.3684436283015653e+20,3.395341937223391e+21,32371.188940092165,8,0.43537502670965833,49.57669142670004,,
0x03842b4c71c18188191cad1cb9a8dab32d2eab7e,28,7,14,1,6,0,2.6525000000000482e+20,1.1150000000415003e+20,1.501954258460068e+18,2.4298040841224426e+22,399491.9259259259,3,0.013470441779409554,51.544682676153265,,
0x03846bf20ade32e9b95d925fe47bd2279c5a88b7,9,4,4,1,0,0,2.6156396837105654e+18,1.2807230956963584e+18,2.807230956963583e+17,4.634808731533275e+18,732620.875,2,0.21919109340627824,42.980126605939056,,
0x0384f296396564cdd310bb398e1dc8a98fb3b137,6,2,1,1,2,0,1.2121463820460155e+22,9.637e+21,9.645877902846804e+21,4.376582431662702e+22,130588.6,1,1.0009212309688496,52.13314019894715,,
0x03851f30cc29d86ee87a492f037b16642838a357,98,43,33,10,12,0,1.522156242514639e+20,1.0143501723419065e+20,3.0023859763194438e+19,3.713642391640977e+23,59816.31958762887,7,0.29599107469835684,54.27147031057747,,
0x03867a6c590972095f2c82dedede42a62f46952a,75,50,6,1,18,0,7.520015261654339e+22,4.035355290461702e+21,10013244998.0,9.780671401651101e+22,103901.68918918919,4,2.4813787825989276e-12,52.93728017803497,,
